P_Average,P_SD,W_Average,W_SD
4347.675016,257.240465,1065.285356,22.610357
3512.431229,250.081992,1019.742302,29.927720
2901.073900,353.822188,976.683392,33.652697
2570.830248,396.312496,934.015218,37.078796
2310.530118,424.079271,891.520993,42.620380
2056.596916,407.800950,845.879294,54.366569
1750.249103,363.268028,803.598870,69.005693
1638.072969,379.990013,762.977218,65.098574
1473.214296,353.580960,731.492306,55.214356
1337.991298,365.445625,700.137559,62.442420
1188.867236,396.371916,672.806837,65.625547
1122.459112,322.899868,653.189340,63.928183
1047.298238,324.712040,629.463744,74.562505
960.462257,314.292102,589.835083,92.742909
885.328164,318.155461,560.085174,102.040898
847.672160,286.609550,540.324625,96.401762
777.633877,258.011065,515.745671,89.331416
729.277873,273.745635,508.348985,82.673397
673.465624,247.555194,497.493380,80.798694
645.119070,217.458521,483.015503,80.700523
593.850189,167.848957,471.250249,83.477874
549.458633,192.120856,457.635094,81.831139
490.665744,207.059923,444.006556,85.147130
466.061367,205.987235,433.002538,85.079268
459.889448,200.827159,421.440103,88.009248
449.744348,202.290744,407.025124,89.275683
426.833262,190.325430,392.524930,87.718202
376.135565,170.431090,376.526676,88.079688
350.066226,172.844645,364.584532,92.743472
314.403949,155.178791,356.140328,88.263447
301.746272,140.699954,348.133027,80.166508
297.366884,132.421538,342.361081,72.219964
276.825590,110.371817,329.703080,68.379090
273.185508,111.274729,321.770940,65.949724
253.463423,94.037106,318.592291,60.163441
242.091559,79.564577,314.651370,57.244192
244.690292,104.826516,308.142488,57.400600
247.603197,109.857409,305.234877,62.236506
236.719871,90.828965,301.018547,69.485084
224.307069,91.871830,295.152908,69.224617
221.858457,97.079786,287.023250,69.225806
203.446944,103.054384,275.862237,73.016865
179.396154,94.391123,260.750049,82.891207
166.395191,96.340033,248.711342,86.077520
155.790762,89.215755,241.987590,83.406604
152.356574,89.408681,238.748311,81.228381
152.084635,86.629896,239.484766,75.541932
141.007526,74.576995,237.038784,71.106907
134.110426,70.346464,235.273474,66.695628
137.803809,65.782720,233.988204,60.872791
138.087795,62.606592,229.026722,60.132190
132.169651,72.134713,221.810943,59.067618
123.766869,73.829849,210.581702,58.602641
117.180995,68.134582,202.985013,59.885685
111.010064,65.716075,193.696442,60.700365
98.994223,60.026310,184.973389,61.323580
89.163373,58.859491,178.442973,57.217327
84.005295,53.913353,174.955963,55.896123
86.748981,48.503991,176.045551,52.740854
84.814741,47.388998,176.600043,53.827086
78.637384,41.490637,172.011805,60.301330
80.779545,48.121744,168.024050,66.579162
75.292907,47.546577,161.623362,66.516433
71.136049,47.530677,156.451190,69.100622
66.969169,46.321859,152.878388,70.441279
63.228586,45.110055,150.376863,73.008621
62.416395,45.339553,150.729379,70.855121
59.099025,43.247775,151.984239,64.832895
60.948101,40.949975,149.788183,62.807557
60.509795,43.574459,146.495943,57.989826
55.963028,36.118590,141.319463,56.367438
52.406556,33.312850,134.980236,53.733684
49.034167,31.107795,130.620476,56.761021
46.025990,26.333675,128.299763,53.571191
46.233494,28.494839,125.436371,52.032176
44.964923,30.421149,120.435183,49.162362
41.351855,30.206527,115.262493,47.066254
38.191344,26.795785,110.771590,47.459212
35.717490,25.760642,105.921606,48.932572
34.148882,23.148739,104.917530,48.240946
33.765982,26.277401,102.731079,47.798168
31.184297,24.726771,98.636669,45.515995
28.432090,22.115118,96.058992,45.258083
26.026349,17.983305,93.813406,44.231506
27.295284,19.191558,93.687358,46.784001
27.262765,21.125380,91.746447,51.501641
27.845947,24.789102,92.217503,53.889141
27.772088,25.210044,92.611135,54.614409
29.871071,24.750937,94.895587,57.385047
32.938876,25.474882,96.533168,53.099415
33.906835,26.850795,96.891993,52.977869
30.773967,24.480319,95.236434,52.955347
29.178364,20.627717,96.281651,50.048669
25.561038,20.494148,94.405882,48.225164
27.862753,22.772823,95.851801,46.772770
26.624919,20.311183,95.287120,46.023494
28.167431,23.124068,95.987807,45.812190
26.744688,20.102050,95.440707,43.967056
25.797355,17.422892,90.460417,42.180161
24.206304,15.823484,85.484664,40.617398
21.267874,15.357997,81.259511,41.936668
20.754715,16.956370,79.136604,39.500776
19.924560,18.204757,77.540259,41.966794
21.202094,18.480862,78.017430,45.093547
21.765986,18.736768,79.876689,47.036024
22.940947,20.229319,78.663587,47.867855
21.974474,19.651853,75.316441,48.720083
21.182621,20.871349,75.331217,46.174166
20.362342,19.831568,73.529667,48.473026
19.805590,21.465925,71.826864,49.797491
17.083031,16.469526,70.533459,50.396647
15.731906,13.193221,69.548690,48.924589
17.927542,17.714913,68.669359,48.554300
17.486059,16.872062,66.741386,44.707478
16.474231,15.762106,65.971205,41.166672
13.163742,11.257442,65.249113,41.849928
15.187386,13.226499,65.901302,41.889316
13.159835,11.259885,64.640759,40.481853
12.604234,12.194140,62.479648,41.452028
13.945281,15.277221,62.543044,43.540357
12.611425,13.520312,62.319245,42.263543
13.500529,13.068352,62.053304,42.389853
14.737793,14.555792,62.791441,41.470215
14.203020,12.067214,62.226362,38.012715
12.894523,10.309824,59.734464,33.658660
12.351041,9.651934,58.234126,34.157057
12.729467,10.817318,59.336748,36.036439
12.355620,12.006494,56.787049,38.244546
10.765693,11.208595,55.116339,39.584994
10.285178,12.511448,53.376619,40.981685
11.588217,13.961000,52.893396,41.131395
10.158392,12.840876,48.913893,39.502716
9.125915,12.334106,47.496969,39.674604
8.856152,11.673881,47.120488,38.965139
8.383970,9.945617,46.190825,37.838563
8.948368,11.321955,45.699596,38.990770
9.537417,12.456089,45.541464,39.772181
10.509489,13.724310,48.871654,43.058667
11.723071,15.293396,51.194526,43.459066
12.595106,13.926756,54.414928,42.917918
12.528416,13.234052,56.028480,40.725327
12.536073,13.201787,57.124323,40.579248
12.986737,12.935583,58.283637,39.965136
12.020705,12.618819,58.484136,38.469157
11.807421,10.839059,56.152519,35.451417
9.644195,10.277455,50.650540,35.364624
9.394368,9.981616,48.796057,32.419314
9.126982,11.140928,44.469434,32.035930
7.916069,11.151278,41.462515,33.787092
7.279629,10.177310,39.481300,34.299329
6.154205,7.979214,36.093116,34.185376
6.597764,8.706738,33.707085,34.368960
6.747779,7.505783,35.299982,33.102836
6.995951,7.831701,35.286322,34.105468
7.288234,7.623642,35.629303,33.288501
7.900249,8.821152,37.178174,35.017586
9.236796,11.717905,39.724517,37.527796
9.739377,12.930911,41.639187,42.087741
11.333014,15.689240,45.870745,44.736350
12.093887,16.457514,49.738517,45.511184
10.397940,13.720998,51.129445,42.409902
9.640157,12.143434,50.763333,39.926547
8.222636,10.190504,49.361440,38.005998
7.974654,8.875323,49.236531,36.867617
8.307041,8.525997,48.282298,36.601186
8.923789,9.814962,47.065662,36.151851
9.222209,11.235990,45.302770,36.354605
8.410507,11.322694,43.971116,35.319811
7.999018,10.141217,43.049992,33.165774
7.698395,9.837148,42.228988,31.965261
7.805753,11.004928,42.540502,31.677406
6.999233,7.816372,43.488887,29.833635
7.853756,9.271339,44.817390,29.371300
8.075027,8.708975,46.145350,28.864117
8.302407,8.245041,47.462215,28.889948
6.487035,5.601334,45.483305,29.275274
6.513691,5.739103,45.195269,30.331960
6.483093,6.171490,44.164542,30.667940
6.601343,5.805904,43.320252,30.349855
6.779897,6.268782,42.761161,30.016503
6.655171,6.820076,40.695262,29.598665
6.322990,6.859292,37.376939,28.973584
6.093992,6.650662,35.434636,29.012637
5.036289,5.092429,32.361490,28.751251
4.540063,5.153032,31.838914,28.610619
4.842562,5.385666,32.811215,29.374848
5.341491,6.013421,34.072174,30.748224
5.735320,6.650102,34.508301,32.108079
6.146440,7.127381,35.025234,32.921356
6.103146,6.933002,34.761000,32.271015
5.821497,7.242751,33.611628,32.663980
5.812174,7.110142,32.198613,30.788844
5.486672,6.806038,31.307096,28.769979
5.079137,6.035108,30.679913,27.154694
4.068985,4.504211,30.173023,28.152508
4.384209,5.644860,30.992128,29.384835
4.704033,5.651210,33.436386,29.768970
5.183443,5.951722,35.571098,29.630153
5.485681,6.159532,36.109270,29.055243
5.743724,6.473128,35.724734,28.880709
6.045220,7.476058,34.904802,30.231082
6.079093,8.336957,33.829397,30.408403
5.220191,6.460231,32.227528,29.827759
4.274622,4.778092,30.374376,28.423039
4.218614,4.463907,28.862178,26.819754
3.927230,4.742443,26.837223,26.408947
3.939760,4.662992,26.218621,26.021737
4.013246,4.600046,24.872723,22.978166
3.692534,4.688453,24.448470,22.953978
3.254396,5.340486,22.888640,24.976236
3.551089,5.777584,24.739174,24.899950
3.598680,5.246277,25.435781,23.058246
3.137129,3.806243,25.328385,22.002992
2.516788,2.632315,24.529698,21.038238
2.648593,3.265115,24.253132,21.821742
2.632794,3.301486,24.805316,22.161068
2.265154,2.864831,24.468429,22.028622
1.676032,2.141162,23.009368,21.852906
2.078523,2.647792,23.576054,22.953751
2.364706,3.264860,22.037651,21.921229
2.551628,3.350959,21.660865,20.986556
2.443252,3.070392,19.821478,19.276884
2.243297,3.442287,18.248046,20.211888
1.924020,2.783935,16.909723,20.750946
2.485967,3.697464,17.998061,22.787721
2.564190,3.661550,18.635086,23.043140
2.876846,4.029325,19.445371,24.201422
3.259958,4.406874,20.606667,25.421402
3.483106,5.167762,21.687181,25.452831
4.326160,6.386672,23.608528,28.293627
4.787258,7.943410,25.086392,31.821786
4.645724,8.986513,24.920626,33.017640
3.562674,7.336268,23.372428,30.734606
3.029250,5.940353,23.542117,29.480661
2.774157,4.840490,24.416175,29.329623
3.005933,4.887275,26.188811,30.201781
3.382647,5.207906,26.835025,29.832351
