P_Average,P_SD,W_Average,W_SD
193188.235478,1180.031542,190072.283379,529.210243
191316.867033,1505.019071,189587.379968,716.709732
190159.565775,1591.387972,189232.241194,798.210902
189542.250647,1519.272527,188982.222200,776.459098
189034.554862,1838.329952,188692.991287,959.263071
188516.434781,2200.855150,188426.683566,1017.850114
188210.424855,2384.136180,188216.891335,1109.013117
187783.288151,2498.105360,188049.982999,1252.565169
187115.936280,3211.718798,187731.211672,1661.261317
186190.331408,4172.237279,187302.450400,2064.039487
185196.227674,4782.037565,186743.478308,2435.575299
183433.217966,5101.018671,185929.043354,2702.648731
181271.937840,5973.687497,184851.566552,3157.905866
178270.129567,7254.060812,183315.147840,3830.767596
174555.737126,8244.694900,181330.796593,4440.481788
169389.528469,9833.413947,178688.547251,5313.265653
162703.120423,12092.768595,175211.646737,6685.249205
153339.744389,16168.504559,169997.343739,8972.538125
140673.711567,21972.926073,162725.226509,13258.205657
126557.405135,32072.255970,153300.850377,21825.761895
112578.065675,41577.029752,142093.441849,32418.268934
102007.563465,49329.774200,130562.145270,46889.755977
93689.390563,52407.112697,122537.691528,51985.652639
85430.688213,54550.727224,113858.132902,56461.648957
79394.700963,54458.353566,107913.341211,58386.896091
73546.233243,52655.650005,102756.896166,58194.652347
69292.847368,51522.731218,98319.411096,58971.032107
67018.872481,49099.935909,97242.247741,56546.647164
63256.298839,48128.656178,94533.921818,54487.944313
58954.159329,50209.212232,88977.354871,56089.852283
57067.221407,49393.348450,86306.297196,57579.329794
55023.181961,47701.931337,85059.068237,56305.893456
55334.281390,47322.886186,84709.181366,57262.276152
54138.706849,45159.037989,83999.948514,56526.632272
50394.193057,44025.821762,79566.290132,56249.833737
47653.294248,45239.724113,74513.154914,58519.056299
46400.746094,45899.456873,72099.894903,59949.593806
42921.248924,44776.054769,67397.583533,59415.037046
38586.822384,41382.463080,63357.594364,56865.569921
33942.684613,37934.766101,58602.128352,54142.570376
29559.671727,36684.882368,53387.089870,51435.800325
27475.010046,36180.820969,49680.118209,51514.059122
24283.434971,32485.170105,46665.342400,48767.662517
22353.382454,31919.187116,43423.328188,47680.794433
22148.951377,32423.577583,42539.592892,48079.013841
20528.251586,31593.891227,40670.783086,46559.274604
17639.447124,29280.523743,36428.863997,44049.420270
15035.401207,26269.742219,32999.029800,41243.897346
13717.960127,25144.812367,30283.331508,39849.507404
12884.888883,23802.572327,28737.441939,39488.364248
12751.385817,25639.837012,27258.267977,40288.791853
14003.029281,28645.582926,28122.740765,42806.930193
15708.295303,32507.214481,29112.292429,46156.106113
16719.087592,34847.648060,29178.910585,48318.609164
16917.999896,34738.358011,29655.066390,48940.581350
15907.566141,33011.469528,29045.558799,47501.075522
13037.045145,29810.828804,26022.812239,42619.508992
9963.675940,28077.400971,21084.504871,37053.748281
7568.511787,24768.451104,17597.803770,32754.429894
5931.291538,19944.655669,15543.296353,28950.510554
5249.710792,16284.706723,15279.871853,26970.484123
5338.887706,16720.084607,15319.713880,27085.644357
5343.874285,16450.169761,14850.559025,27474.691033
4598.711550,13574.468546,14102.712414,25195.400282
3392.643752,11798.079381,11641.002674,21146.084452
3548.991405,13844.046157,11470.403834,21867.439618
4216.525462,16166.368483,12514.075272,24275.164020
4904.084032,18026.815597,13343.867203,26464.873404
5523.186377,18861.116315,14427.578853,28309.311281
5520.539879,17320.348717,14710.707347,28666.408123
5112.465298,14511.204731,14267.232900,27287.759361
4453.386893,13898.713362,12897.852741,24945.526053
4865.171701,16717.743485,12521.320325,27298.562094
5754.657327,19750.754951,13270.121981,29968.556984
6488.258626,22118.256000,13872.730399,31824.705299
6792.496135,22967.077744,14160.775092,32840.725508
6635.473394,22575.856760,13818.558605,32643.519000
5529.237482,20860.528211,12101.294044,29607.053403
4449.540443,20461.403097,9749.625047,26804.391730
3483.102757,18240.399748,7726.832704,24733.361614
3131.236987,16395.245314,7381.309134,23126.615504
3278.261441,17240.854727,7351.827577,23502.997270
3688.432628,19464.606487,7555.391367,24964.921446
3881.130915,20511.706447,7662.834092,25615.677060
3602.848724,18992.422964,7586.611285,24859.818051
2578.791037,13440.766602,6981.118086,20986.806459
862.342671,4163.563053,5055.294928,9966.029793
181.220273,498.429658,3717.651481,3202.274024
91.339881,112.806906,3394.449514,2411.890121
91.203434,116.937124,3398.497033,2382.722285
89.383415,123.481271,3344.600478,2368.389438
85.108625,118.798267,3262.774511,2354.987181
79.919391,104.718892,3159.467815,2293.087924
71.605898,80.138187,3052.242649,2073.072234
67.218064,73.197452,2963.609718,1974.175281
62.912762,73.854492,2840.932078,1949.895570
60.252397,77.737295,2740.387632,1975.765625
59.429611,85.015043,2699.683588,1992.817355
58.047547,94.586400,2605.714499,2048.339799
56.505351,103.616296,2491.432636,2131.897486
56.080261,109.202182,2454.042095,2153.646446
55.263695,105.747814,2441.062494,2150.130467
52.527958,92.847688,2390.838841,2061.423517
48.925849,76.712304,2332.643692,1916.910952
49.288728,82.556065,2326.318330,1932.582626
52.684444,97.978705,2323.123317,2111.248824
56.591087,110.985491,2364.569712,2246.475429
58.872664,116.268502,2424.934021,2302.966561
58.937845,112.005148,2446.004278,2292.423388
55.215336,90.437876,2426.164288,2151.523296
46.096193,53.880045,2308.938418,1824.131868
41.018968,44.218587,2199.925518,1683.102647
41.478894,47.345463,2178.827055,1737.437881
42.714237,51.027046,2199.614144,1788.898988
43.130141,54.609761,2203.195574,1811.374366
41.554121,59.050408,2118.364663,1824.068615
41.171554,63.619742,2025.627814,1918.540632
41.587885,63.198117,2042.391959,1935.402302
40.177455,58.629531,2024.957392,1877.220074
37.899307,54.334708,1984.092246,1799.405303
37.687346,57.403729,1963.269993,1803.015424
39.868653,63.592064,1980.814909,1897.876704
42.598095,67.777998,2038.172478,1982.641478
44.013578,67.134892,2073.942799,2014.733534
43.226632,61.791067,2070.405906,1989.292996
40.663863,55.868355,2025.949805,1897.196569
39.058894,52.940303,2003.370497,1855.977572
37.655742,50.292114,1961.973457,1826.010403
31.824982,43.748652,1788.374908,1668.453225
28.045356,40.337186,1660.593243,1591.592723
27.408150,37.375544,1671.348472,1538.539806
28.638483,38.880698,1712.354756,1565.847865
29.475258,40.951332,1727.634932,1594.258086
30.921966,43.808083,1762.812085,1645.306399
31.332904,45.176699,1774.468749,1655.980876
31.432879,46.785390,1786.334463,1652.415470
31.260681,47.395484,1798.170698,1649.460457
30.619756,47.372994,1773.718905,1629.554817
27.640392,42.948555,1652.178914,1579.032127
23.077590,33.904985,1514.793475,1443.162994
18.611002,27.736487,1338.694389,1296.748381
16.799813,26.973565,1235.265373,1267.193406
16.880613,29.306767,1231.280580,1277.146363
17.372910,31.445870,1246.641000,1296.198144
17.394687,29.403045,1282.846935,1268.771981
18.525908,30.195012,1349.500696,1273.196915
