P_Average,P_SD,W_Average,W_SD
184450.991956,3478.175626,619.793818,5.376398
175400.595428,5383.124066,609.586594,8.416360
167862.415092,5987.607024,603.673950,10.902110
161200.166136,6126.875739,597.501376,12.208985
154939.816958,6453.359077,592.128160,16.336993
149283.377728,7947.682630,589.839162,17.715729
140469.242915,10107.870948,588.781780,23.518786
131741.042843,11919.958093,589.911472,26.480121
119902.961968,17587.652279,590.511611,33.038907
109281.864633,18065.208742,590.611285,35.495885
97143.836075,23699.498257,592.559931,39.695989
85398.010252,24518.211110,592.265450,44.766422
75320.568842,27716.243407,591.715575,45.657030
64616.011067,25828.389763,587.687816,44.203637
57076.188726,28700.348323,587.420085,45.702177
50397.063514,27510.438986,588.181929,48.950536
44381.257125,26867.480762,587.335316,47.017494
38445.210319,29473.542867,586.832082,49.709220
35104.670716,29182.705694,586.427416,50.796149
31965.371305,28582.024240,589.059935,51.275286
29380.554802,26002.509920,590.714389,51.463705
27166.551668,24088.756540,588.472258,52.654489
24812.861784,23653.496536,588.466301,54.533024
23616.799541,23792.271460,585.995701,54.162814
22600.583090,23155.148932,584.739849,54.946207
20090.444430,21158.401856,583.564777,54.979996
17411.496473,19164.021612,583.816373,54.704426
14617.048276,16450.698291,585.181214,56.134465
12577.498277,17138.944427,585.750959,55.116743
12380.932669,18168.362144,585.486802,53.505673
11585.855283,18046.422911,585.612392,52.275244
11113.788068,17631.010009,584.686543,52.809640
9370.391649,15890.733119,583.962015,56.053364
7044.955149,12281.651302,583.998296,59.054931
6780.524508,11975.103709,583.522963,58.863490
7300.388298,12537.455220,583.151412,58.694673
7753.123607,13212.202731,582.594936,58.450880
8178.127192,13015.783132,581.926929,58.606108
8886.476856,14270.756545,581.239114,59.070349
9091.406349,14012.221308,579.883858,59.955049
8637.004469,13474.557339,578.878337,60.595608
6887.362497,12211.067624,577.918223,62.038537
6244.768541,11164.118002,577.915034,62.213594
5133.274542,8163.725086,577.359631,62.985609
3256.720163,5182.231586,576.660898,63.665788
2025.308876,3209.377208,576.033620,64.904996
1150.958645,2352.344959,575.497573,66.152467
1129.738606,2287.603904,575.480031,66.320796
1109.294057,2107.584828,575.498107,66.325092
1119.515956,2084.848758,575.486065,66.354106
1046.323335,1668.997147,575.423175,66.421467
837.459424,871.983658,575.385277,66.414388
702.984441,703.645898,575.375168,66.369968
758.484416,886.845992,575.405527,66.315398
786.717297,1139.103816,575.412191,66.342288
592.898200,622.744837,575.388945,66.390147
479.072876,432.744762,575.386506,66.428439
472.178909,416.233804,575.347218,66.488149
459.557803,411.707351,575.313190,66.551138
479.077349,522.059345,575.316376,66.559209
468.557619,644.916578,575.307022,66.585120
427.003523,695.370474,575.259003,66.591871
435.755329,925.753455,575.245654,66.562534
434.239647,1007.193900,575.242718,66.543268
423.041455,1045.398598,575.239175,66.542712
408.969507,1037.709173,575.260446,66.528896
