P_Average,P_SD,W_Average,W_SD
5930.273085,786.865615,0.000000,0.000000
4711.353833,811.177432,0.000000,0.000000
3681.419764,962.568048,0.000000,0.000000
2873.865237,1138.953860,0.000000,0.000000
2458.303714,1221.987363,0.000000,0.000000
2219.952990,1049.471752,0.000000,0.000000
1879.993229,775.957507,0.000000,0.000000
1925.289993,801.655873,0.000000,0.000000
1754.328963,788.555717,0.000000,0.000000
1666.421531,835.227032,0.000000,0.000000
1476.645699,811.980819,0.000000,0.000000
1315.479030,833.482521,0.000000,0.000000
1177.133621,770.303767,0.000000,0.000000
1117.643597,701.107951,0.000000,0.000000
1122.334998,712.289122,0.000000,0.000000
1024.635495,589.413503,0.000000,0.000000
931.770313,567.560718,0.000000,0.000000
937.572458,514.889210,0.000000,0.000000
935.426606,557.754802,0.000000,0.000000
896.735611,608.212301,0.000000,0.000000
731.830858,574.721732,0.000000,0.000000
565.549097,497.365006,0.000000,0.000000
545.965288,505.939785,0.000000,0.000000
541.362901,500.745322,0.000000,0.000000
450.664096,438.083610,0.000000,0.000000
464.220936,431.394925,0.000000,0.000000
474.978997,407.734739,0.000000,0.000000
469.372068,463.205719,0.000000,0.000000
492.964456,468.205321,0.000000,0.000000
427.835416,375.441319,0.000000,0.000000
428.447368,486.569869,0.000000,0.000000
397.765672,396.582577,0.000000,0.000000
418.917437,422.508705,0.000000,0.000000
332.931280,412.161146,0.000000,0.000000
381.396346,426.542582,0.000000,0.000000
409.626322,422.133870,0.000000,0.000000
336.142414,331.182238,0.000000,0.000000
262.146044,264.595784,0.000000,0.000000
279.260772,275.021280,0.000000,0.000000
266.992818,277.989649,0.000000,0.000000
275.482361,295.647761,0.000000,0.000000
282.733001,285.104844,0.000000,0.000000
269.003669,267.634667,0.000000,0.000000
257.808443,278.591272,0.000000,0.000000
227.291928,253.200187,0.000000,0.000000
206.015675,278.243054,0.000000,0.000000
195.361013,285.082905,0.000000,0.000000
239.724469,299.927673,0.000000,0.000000
227.760363,302.252553,0.000000,0.000000
244.838297,321.580710,0.000000,0.000000
200.508588,257.911892,0.000000,0.000000
149.090742,176.870081,0.000000,0.000000
141.334640,175.595347,0.000000,0.000000
154.165430,209.596733,0.000000,0.000000
147.390636,208.876995,0.000000,0.000000
120.418384,218.032254,0.000000,0.000000
100.237444,166.759720,0.000000,0.000000
130.266908,210.651267,0.000000,0.000000
156.358908,252.020185,0.000000,0.000000
177.976759,212.650613,0.000000,0.000000
188.203076,234.603913,0.000000,0.000000
185.293919,250.924590,0.000000,0.000000
156.824691,226.202390,0.000000,0.000000
97.700609,164.227162,0.000000,0.000000
83.190467,191.968459,0.000000,0.000000
80.736723,209.869072,0.000000,0.000000
103.753909,215.536761,0.000000,0.000000
104.968567,192.547185,0.000000,0.000000
75.732372,128.440847,0.000000,0.000000
58.176969,125.070653,0.000000,0.000000
47.160010,105.367048,0.000000,0.000000
23.563824,59.728027,0.000000,0.000000
19.011872,45.787396,0.000000,0.000000
22.936160,59.415166,0.000000,0.000000
27.550071,64.618723,0.000000,0.000000
28.338761,57.083608,0.000000,0.000000
25.171334,63.502878,0.000000,0.000000
23.049267,61.201466,0.000000,0.000000
28.461958,64.645109,0.000000,0.000000
28.509089,97.214738,0.000000,0.000000
35.556796,120.855697,0.000000,0.000000
36.398157,125.097425,0.000000,0.000000
40.461026,110.161578,0.000000,0.000000
38.062251,95.227375,0.000000,0.000000
24.936306,79.998365,0.000000,0.000000
21.919082,75.326149,0.000000,0.000000
18.636612,59.961028,0.000000,0.000000
17.255723,48.237630,0.000000,0.000000
18.586759,50.454631,0.000000,0.000000
13.825077,42.361494,0.000000,0.000000
7.759496,27.366184,0.000000,0.000000
7.135196,27.989170,0.000000,0.000000
5.562377,25.614267,0.000000,0.000000
4.688272,15.567646,0.000000,0.000000
4.280282,17.859892,0.000000,0.000000
5.302667,22.294501,0.000000,0.000000
5.339576,22.346195,0.000000,0.000000
4.738221,18.194279,0.000000,0.000000
2.194907,6.825313,0.000000,0.000000
7.566480,28.054698,0.000000,0.000000
12.689153,47.560187,0.000000,0.000000
16.071478,59.978442,0.000000,0.000000
15.812849,60.652589,0.000000,0.000000
9.270284,34.191250,0.000000,0.000000
4.750421,22.081853,0.000000,0.000000
4.052432,17.153118,0.000000,0.000000
2.260803,8.500540,0.000000,0.000000
2.990972,11.366763,0.000000,0.000000
2.768506,12.095769,0.000000,0.000000
2.928489,11.995560,0.000000,0.000000
1.359591,4.706603,0.000000,0.000000
2.009706,6.462219,0.000000,0.000000
7.049436,26.581434,0.000000,0.000000
10.045536,46.888753,0.000000,0.000000
11.405232,57.810040,0.000000,0.000000
11.600968,57.142676,0.000000,0.000000
9.778254,45.778720,0.000000,0.000000
4.341650,15.394130,0.000000,0.000000
